User_ID,Customer_Name,Gender,Age,Occupation,Monthly_Income,Phone_Number,Email,Account_Number,UPI_ID,City,State,Preferred_Payment_Method,Preferred_Device,Preferred_Browser,Average_Spending,Maximum_Spending,Preferred_Transaction_Hour,Account_Creation_Date,Account_Age_Days
USR0001,Jairaj Deo,Male,19,Business,84196,4907581366,jairaj.deo152@gmail.com,ACC4163119785,jairaj702@pay,Mumbai,Maharashtra,Wallet,Android,Safari,760,3800,9,2019-05-09,2644
USR0002,Tristan Bhandari,Male,32,Designer,177815,6045854608,tristan.bhandari584@gmail.com,ACC7635473142,tristan235@pay,Chennai,Tamil Nadu,Net Banking,Tablet,Edge,7130,35650,12,2025-01-12,569
USR0003,Yuvraj Memon,Female,39,Business,60758,9941098289,yuvraj.memon990@gmail.com,ACC8574149614,yuvraj114@pay,Mumbai,Maharashtra,UPI,MacBook,Chrome,3440,55040,15,2021-10-08,1761
USR0004,Bhavini Mahal,Male,64,Accountant,160568,9045794991,bhavini.mahal954@gmail.com,ACC2625792787,bhavini575@pay,Bangalore,Karnataka,Credit Card,Tablet,Edge,5229,57519,9,2022-08-18,1447
USR0005,Urmi Tata,Male,60,Teacher,222655,3910127078,urmi.tata91@gmail.com,ACC4673561638,urmi897@pay,Delhi,Delhi,UPI,MacBook,Edge,4214,67424,12,2023-10-07,1032
USR0006,Gauri Borra,Female,40,Teacher,195682,0242328160,gauri.borra728@gmail.com,ACC3783290795,gauri633@pay,Delhi,Delhi,Debit Card,Tablet,Firefox,1838,34922,19,2022-12-15,1328
USR0007,Kamya Borra,Female,58,Designer,77570,4134946581,kamya.borra873@gmail.com,ACC1240251661,kamya851@pay,Pune,Maharashtra,UPI,Windows Laptop,Safari,2693,18851,13,2020-09-10,2154
USR0008,Kiaan Gade,Female,31,Accountant,123712,4935643465,kiaan.gade156@gmail.com,ACC2137651678,kiaan262@pay,Ahmedabad,Gujarat,Wallet,Tablet,Edge,6619,119142,19,2020-02-26,2351
USR0009,Wridesh Pandya,Female,32,Doctor,153569,1267078527,wridesh.pandya103@gmail.com,ACC4246059658,wridesh891@pay,Ahmedabad,Gujarat,UPI,iPhone,Firefox,6988,125784,9,2021-10-15,1754
USR0010,Harita Uppal,Female,42,Freelancer,142696,1149120268,harita.uppal267@gmail.com,ACC9639245200,harita748@pay,Jaipur,Rajasthan,UPI,Tablet,Edge,6796,101940,10,2024-12-20,592
USR0011,Tanay Bawa,Female,45,Doctor,138940,6997315401,tanay.bawa986@gmail.com,ACC8385972235,tanay522@pay,Chennai,Tamil Nadu,Debit Card,Tablet,Chrome,7631,106834,13,2024-02-09,907
USR0012,Rudra Sheth,Male,41,Doctor,161394,1072777899,rudra.sheth950@gmail.com,ACC9592390865,rudra341@pay,Jaipur,Rajasthan,Net Banking,Android,Chrome,3473,48622,14,2021-07-17,1844
USR0013,Kai Ahluwalia,Male,33,Freelancer,40645,3672932336,kai.ahluwalia759@gmail.com,ACC4289233844,kai141@pay,Bangalore,Karnataka,Net Banking,Tablet,Firefox,2671,48078,13,2025-06-15,415
USR0014,Daniel Halder,Male,63,Business,124593,4812297768,daniel.halder458@gmail.com,ACC2939118223,daniel263@pay,Pune,Maharashtra,Debit Card,Android,Edge,672,8064,14,2025-11-05,272
USR0015,Amol Bassi,Male,22,Student,80015,0073890247,amol.bassi937@gmail.com,ACC2419179580,amol536@pay,Bangalore,Karnataka,Debit Card,Windows Laptop,Safari,2255,20295,22,2020-12-16,2057
USR0016,Ekaja Goel,Male,48,Lawyer,69914,3623768091,ekaja.goel109@gmail.com,ACC8125276666,ekaja372@pay,Bangalore,Karnataka,Net Banking,MacBook,Safari,7576,45456,10,2021-05-05,1917
USR0017,Jhalak Suri,Male,43,Government Employee,229870,6193730598,jhalak.suri264@gmail.com,ACC1822873088,jhalak559@pay,Bangalore,Karnataka,Net Banking,iPhone,Safari,2003,26039,21,2023-10-30,1009
USR0018,Girindra Prasad,Male,22,Accountant,231818,3100435501,girindra.prasad110@gmail.com,ACC9807209816,girindra563@pay,Jaipur,Rajasthan,UPI,Android,Firefox,1862,33516,22,2022-12-25,1318
USR0019,Brinda Nagi,Female,31,Lawyer,35370,6096786973,brinda.nagi398@gmail.com,ACC6971815972,brinda958@pay,Hyderabad,Telangana,Net Banking,Windows Laptop,Safari,6206,124120,11,2023-03-27,1226
USR0020,Dayita Gulati,Male,36,Teacher,35331,3823525003,dayita.gulati763@gmail.com,ACC3328710672,dayita775@pay,Kochi,Kerala,Credit Card,Android,Chrome,5285,105700,12,2026-02-05,180
USR0021,Irya Ganguly,Male,50,Software Engineer,243174,8100799632,irya.ganguly80@gmail.com,ACC3555656321,irya701@pay,Hyderabad,Telangana,Debit Card,MacBook,Chrome,7793,93516,8,2025-01-09,572
USR0022,Samaksh Kala,Male,44,Freelancer,168170,5369198185,samaksh.kala333@gmail.com,ACC9309500117,samaksh219@pay,Jaipur,Rajasthan,Credit Card,iPhone,Edge,3742,33678,16,2020-07-04,2222
USR0023,Utkarsh Bains,Female,38,Software Engineer,22441,0077100817,utkarsh.bains646@gmail.com,ACC5278201677,utkarsh85@pay,Ahmedabad,Gujarat,Wallet,iPhone,Edge,1585,25360,9,2019-05-14,2639
USR0024,Ekaraj Keer,Male,41,Business,61352,7401880231,ekaraj.keer863@gmail.com,ACC3271782991,ekaraj693@pay,Ahmedabad,Gujarat,Wallet,Windows Laptop,Chrome,7693,69237,15,2023-10-26,1013
USR0025,Wridesh Menon,Male,24,Designer,60749,1062419659,wridesh.menon298@gmail.com,ACC3597724331,wridesh744@pay,Delhi,Delhi,Credit Card,iPhone,Edge,4640,92800,15,2022-08-15,1450
USR0026,George Dani,Male,23,Lawyer,237408,9116486798,george.dani55@gmail.com,ACC5310195918,george799@pay,Delhi,Delhi,Debit Card,Windows Laptop,Firefox,6572,124868,20,2025-04-21,470
USR0027,Omaja Pathak,Male,25,Software Engineer,201146,2113262165,omaja.pathak568@gmail.com,ACC3373077218,omaja450@pay,Hyderabad,Telangana,Debit Card,Android,Edge,3487,20922,18,2020-02-06,2371
USR0028,Guneet Bhat,Male,61,Teacher,194832,4880276912,guneet.bhat372@gmail.com,ACC4993808565,guneet895@pay,Bangalore,Karnataka,Debit Card,iPhone,Safari,703,7030,17,2026-04-16,110
USR0029,Ganga Dave,Female,60,Teacher,89941,8195268692,ganga.dave816@gmail.com,ACC4011966884,ganga401@pay,Hyderabad,Telangana,UPI,MacBook,Firefox,2134,40546,18,2022-12-24,1319
USR0030,Amruta Tak,Female,32,Teacher,26203,6630501781,amruta.tak418@gmail.com,ACC6704841644,amruta895@pay,Mumbai,Maharashtra,UPI,Windows Laptop,Edge,5755,97835,17,2026-01-26,190
USR0031,Max Bose,Male,25,Business,66810,5174056376,max.bose995@gmail.com,ACC9519284858,max49@pay,Kochi,Kerala,UPI,Tablet,Safari,3331,49965,20,2024-06-12,783
